1	Echoes of Elegance: The Resurgence of the Mamian Skirt in Contemporary Fashion	echoes-of-elegance-the-resurgence-of-the-mamian-skirt-in-contemporary-fashion	A Cultural classic reimagined for the modern muse – the mamian skirt is experiencing a dynamic revival as designers rediscover its structured beauty and cultural depth.	A Cultural classic reimagined for the modern muse – By Huimin You/July (Wink – Milk)\n\nThe mamian skirt, a time-honored staple in traditional Chinese womenswear, is experiencing a dynamic revival as designers and wearers rediscover its structured beauty and cultural depth. Once a marker of nobility and formality in imperial China, the mamian skirt—named after its resemblance to a horse's face due to its flat front panel—has transcended centuries to find its place in the contemporary fashion landscape.\n\nThis resurgence is not merely a nostalgic return to historical dress, but a creative reimagining that speaks to modern sensibilities. Designers are blending traditional pleating techniques with contemporary fabrics, silhouettes, and styling, creating pieces that honor heritage while embracing innovation.\n\nThe mamian skirt's revival reflects a broader trend in global fashion: the desire to reconnect with cultural roots while pushing creative boundaries. As the fashion industry increasingly values authenticity and storytelling, garments like the mamian skirt offer a powerful narrative of identity, craftsmanship, and cultural continuity.	https://rootedinopulence.wordpress.com/wp-content/uploads/2025/06/photo-2025-06-17-23-53-36-2.jpg	Huimin You	Fashion Designers	blog, dmu, entrepreneurship, fashion, lifestyle, runway, style, trends	https://rootedinopulence.wordpress.com/2025/06/18/echoes-of-elegance-the-resurgence-of-the-mamian-skirt-in-contemporary-fashion/	t	2026-05-12 15:42:24.816807+00	2026-05-12 15:42:24.816807+00
2	My Disappearing Past	my-disappearing-past	A tale of fading memories — inspiration from a Nigerian beach town known as 'Eleko,' where childhood memories shape creative vision.	By Claudia Adetoro\n\nA tale of my fading memories\n\nThe primary inspiration for this project stems from a Nigerian beach town known as 'Eleko,' where I spent my early childhood. Born in Nigeria, I lived there until my family moved to England. In the initial stages of my research, I focused on an 'object of desire'—a cherished memory that has shaped my creative identity.\n\nThis collection explores the tension between remembering and forgetting, between the vivid colors of childhood and the muted tones of distant memory. Each piece is designed to evoke the sensation of reaching for something just beyond grasp—a place, a feeling, a moment in time.\n\nThrough fabric manipulation and color gradients, the collection captures the essence of a disappearing past: vibrant at the edges, fading toward the center, yet always present in its influence on who we become.	https://rootedinopulence.wordpress.com/wp-content/uploads/2025/06/photo-2025-06-17-13-25-03.jpg	Claudia Adetoro	Fashion Designers	art, fashion, lifestyle, style, writing	https://rootedinopulence.wordpress.com/2025/06/17/my-disappearing-past/	t	2026-05-12 15:42:24.816807+00	2026-05-12 15:42:24.816807+00
3	Aso Oke Blazer	aso-oke-blazer	A statement of power, heritage, and confidence — blending culture, luxury, and empowerment into a single, unforgettable look.	By Adenike\n\nImagine stepping into a room where your presence alone speaks volumes—where what you wear isn't just fabric, but a statement of power, heritage, and confidence. The fabric combines green, gold, and white colours.\n\nAso Oke blazer—a piece that blends culture, luxury, and empowerment into a single, unforgettable look. Aso Oke is a hand-woven cloth that holds deep cultural significance among the Yoruba people of West Africa. Traditionally reserved for important ceremonies and celebrations, it symbolizes prestige, wealth, and community.\n\nBy reimagining this iconic textile as a modern blazer, I bridge the gap between tradition and contemporary fashion. The structured silhouette of the blazer meets the rich texture and vibrant patterns of Aso Oke, creating a garment that commands attention while honoring its cultural origins.\n\nThis piece is for the woman who carries her heritage with pride and wears her confidence like armor.	https://rootedinopulence.wordpress.com/wp-content/uploads/2025/06/photo-2025-06-17-12-50-45-2.jpg	Adenike	Fashion Designers	fashion, heritage, culture	https://rootedinopulence.wordpress.com/2025/06/17/aso-oke-blazer/	t	2026-05-12 15:42:24.816807+00	2026-05-12 15:42:24.816807+00
4	Legendry Living: A Story of Purpose, Values, and Conscious Living	legendry-living-a-story-of-purpose-values-and-conscious-living	Over the course of a career spanning H.R and Textiles, insights on listening deeply, thinking practically, and creating solutions that support people and purpose.	By Hayley-Jane Wildsmith, Founder\n\nOver the course of my career, I've worked across two sectors that shaped how I see the world: H.R and Textiles. These roles taught me to listen deeply, think practically, and create solutions that support both people and purpose.\n\nBut alongside these professional insights, I've also carried personal values that have guided every decision—values rooted in mindfulness, sustainability, and the belief that what we create should serve a greater good.\n\nLegendry Living is the culmination of these experiences. It's a brand built on the principle that fashion can be both beautiful and conscious, that luxury doesn't require compromise, and that every garment can tell a story of purpose.\n\nThrough carefully sourced materials, ethical production methods, and designs that prioritize longevity over trends, Legendry Living offers a new paradigm for fashion—one where style and substance coexist harmoniously.	https://rootedinopulence.wordpress.com/wp-content/uploads/2025/06/photo-2025-06-17-11-58-06.jpg	Hayley-Jane Wildsmith	Fashion Designers	life, mindfulness, personal-growth, spirituality, sustainability	https://rootedinopulence.wordpress.com/2025/06/17/legendry-living-a-story-of-purpose-values-and-conscious-living/	t	2026-05-12 15:42:24.816807+00	2026-05-12 15:42:24.816807+00
5	Adjoavi Style: The Daley Sculptured Gown	adjoavi-style-the-daley-sculptured-gown	Elevated elegance rooted in culture — the Daley Sculptured Gown represents confidence, purpose, and architectural beauty in deep red velvet.	By Blessing Ukpe\n\nThe Daley Sculptured Gown represents what my brand, Adjoavi Style stands for: elevated elegance rooted in culture, crafted for the woman who moves with confidence and purpose.\n\nThe name "Daley" evokes legacy and strength, qualities we honour in every thread. Sculpted in deep red velvet, its bold silhouette and architectural draping are designed to embrace the body while making a powerful visual statement.\n\nEvery curve and fold of this gown has been carefully considered—not just for aesthetic impact, but for the way it makes the wearer feel. Fashion, at its best, is transformative. It doesn't just change how others see you; it changes how you see yourself.\n\nThe Daley Sculptured Gown is an invitation to step into your power, to wear your heritage like a crown, and to move through the world with the grace and authority that comes from knowing exactly who you are.	https://rootedinopulence.wordpress.com/wp-content/uploads/2025/06/img_6407.jpg	Blessing Ukpe	Fashion Designers	adjoavi-style, fashion, lifestyle, met-gala, style	https://rootedinopulence.wordpress.com/2025/06/17/adjoavi-style-the-daley-sculptured-gown/	t	2026-05-12 15:42:24.816807+00	2026-05-12 15:42:24.816807+00
6	Equestrian	equestrian	Inspired by a grandfather's farm in Turkey — creating pieces that embody a harmonious blend of functionality, modesty, and sophistication.	By Mine Yeter\n\nThe inspiration for my collection stems from my family, particularly my grandfather's farm in the Besni, Adıyaman province of Turkey. This influence emerged from the loose wool and cotton garments traditionally worn by both men and women on the farm.\n\nI envisioned creating pieces that embody a harmonious blend of functionality, modesty, and sophistication. Embracing these traditional elements, my designs reinterpret rural workwear through the lens of contemporary fashion.\n\nEach garment in the Equestrian collection tells a story of heritage meeting innovation—where the practical wisdom of generations past informs the creative vision of the present. The collection celebrates the beauty found in simplicity, the elegance of functional design, and the timeless appeal of garments made with intention and care.	https://rootedinopulence.wordpress.com/wp-content/uploads/2025/05/unnamed-1.png	Mine Yeter	Fashion Designers	art, dmu, entrepreneurship, fashion, history, lifestyle, runway, style	https://rootedinopulence.wordpress.com/2025/05/07/equestrian/	t	2026-05-12 15:42:24.816807+00	2026-05-12 15:42:24.816807+00
7	Parting Seas	parting-seas	An exploration of the journey of migrants and asylum seekers — using wet forming of leather off cuts to depict the physical aspects of the journey.	By Funmi Ogundimu\n\nMy Graduate Collection titled Parting Seas is an exploration of the journey of migrants and asylum seekers making their way to England. It draws links from my own personal relationship to immigration.\n\nLooking at the physical aspects of the journey, the project uses the wet forming of leather off cuts, and depicts the textures and movements of the sea—both as barrier and pathway.\n\nThis collection is deeply personal yet universally resonant. It speaks to the courage required to leave everything familiar behind, the uncertainty of the crossing, and the hope that drives people forward even in the face of overwhelming odds.\n\nThrough fashion, I aim to humanize these stories, to give form and beauty to experiences that are too often reduced to statistics. Each piece is a testament to resilience, to the human spirit's capacity to endure and to create beauty even in the midst of hardship.	https://rootedinopulence.wordpress.com/wp-content/uploads/2025/05/photo-2025-06-17-20-35-04-2.jpg	Funmi Ogundimu	Fashion Designers	art, books, dmu, entrepreneurship, fashion, runway, writing	https://rootedinopulence.wordpress.com/2025/05/07/parting-seas/	t	2026-05-12 15:42:24.816807+00	2026-05-12 15:42:24.816807+00
8	Adufe Lagos	adufe-lagos	Redefining power dressing — blending tradition, artistry, and individuality inspired by the dynamic energy of Lagos.	By Mariam Oyenuga\n\nIn a world where clothing speaks before words ever do, I bring my vision to life through design. At this year's exhibition, I redefine power dressing—blending tradition, artistry, and individuality.\n\nInspired by the dynamic energy of this city, my collection, "Oba Obinrin" (Queen in Yoruba), reflects the strength and elegance of every woman who wears it. Lagos is a city of contrasts—vibrant and chaotic, traditional and modern, gentle and fierce.\n\nAdufe Lagos captures these contradictions in fabric and form. Each piece is designed to empower, to remind the wearer of her inherent royalty, and to celebrate the rich cultural tapestry from which we all draw our strength.\n\nThe collection is a love letter to Lagos, to Yoruba heritage, and to every woman who has ever used fashion as a form of self-expression and empowerment.	https://rootedinopulence.wordpress.com/wp-content/uploads/2025/05/photo-2025-06-17-20-25-44.jpg	Mariam Oyenuga	Fashion Designers	dmu, entrepreneurship, fashion, runway	https://rootedinopulence.wordpress.com/2025/05/07/adufe-lagos/	t	2026-05-12 15:42:24.816807+00	2026-05-12 15:42:24.816807+00
9	Letter to my Child	letter-to-my-child	HERUNO HALO — a gift from the past come into the present, inspired by a personal journey of embracing femininity in all its richness and complexity.	By Rumbie\n\nHERUNO HALO is a gift from the past come into the present. HERUNO HALO is inspired by my personal journey, as a young Gen Z / Millennial woman, to embracing femininity in all its richness and complexity.\n\nIt's first accessories – coined the 'Portaborse' accessories by a dear Swiss-Italian friend – are an ode to the women who came before us, the mothers and grandmothers whose strength and grace we carry forward.\n\nThis collection is deeply intimate. Each piece tells a story of inheritance—not just of objects, but of values, of dreams, of the quiet strength that passes from one generation to the next.\n\nLetter to my Child is both a look back and a look forward. It honors the past while creating something new, something that will one day be passed on to the next generation as a testament to creativity, love, and the enduring power of fashion to tell our most personal stories.	https://rootedinopulence.wordpress.com/wp-content/uploads/2025/05/whatsapp-image-2025-06-12-at-13.04.26.jpeg	Rumbie	Fashion Designers	entrepreneurship, fashion, runway, writing	https://rootedinopulence.wordpress.com/2025/05/07/letter-to-my-child-by-rumbie/	t	2026-05-12 15:42:24.816807+00	2026-05-12 15:42:24.816807+00
10	About — Rooted in Opulence	about-rooted-in-opulence	The official digital exhibition space for the 2025 DMU Fashion Showcase — celebrating creativity, heritage, and innovation of emerging designers.	Rooted in Opulence\n\nWelcome to Rooted in Opulence, the official digital exhibition space for the 2025 DMU Fashion Showcase. This platform celebrates the creativity, heritage, and innovation of emerging designers from De Montfort University's Fashion School.\n\nEach piece you'll discover here is more than just fabric and form — it's a story of identity, culture, and creative vision. Our designers draw inspiration from their diverse backgrounds, personal experiences, and cultural heritage to create collections that push boundaries and challenge conventions.\n\nRooted in Opulence is not just an exhibition—it's a movement. It represents the next generation of fashion designers who believe that style and substance can coexist, that heritage and innovation are not opposites but partners, and that fashion at its best is a powerful form of storytelling.\n\nWe invite you to explore, to be inspired, and to discover the extraordinary talent that is shaping the future of fashion.	https://rootedinopulence.wordpress.com/wp-content/uploads/2025/06/clean-simple-logo.png	DMU Fashion Exhibition	Fashion Designers	dmu, fashion, exhibition	https://rootedinopulence.wordpress.com/2025/04/14/about/	t	2026-05-12 15:42:24.816807+00	2026-05-12 15:42:24.816807+00
